Date,Site,Probe_meter,Reach_Lenght_m,Slug_type,Addition_Time,Time_hms,NaCl_added_g,Times_s,SpC_uScm,Backg_SpC_uScm,NaCl_conc_mgL
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:00:10,6000,550,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:00:15,6000,555,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:00:20,6000,560,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:00:25,6000,565,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:00:30,6000,570,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:00:35,6000,575,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:00:40,6000,580,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:00:45,6000,585,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:00:50,6000,590,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:00:55,6000,595,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:01:00,6000,600,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:01:05,6000,605,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:01:10,6000,610,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:01:15,6000,615,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:01:20,6000,620,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:01:25,6000,625,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:01:30,6000,630,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:01:35,6000,635,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:01:40,6000,640,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:01:45,6000,645,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:01:50,6000,650,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:01:55,6000,655,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:02:00,6000,660,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:02:05,6000,665,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:02:10,6000,670,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:02:15,6000,675,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:02:20,6000,680,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:02:25,6000,685,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:02:30,6000,690,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:02:35,6000,695,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:02:40,6000,700,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:02:45,6000,705,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:02:50,6000,710,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:02:55,6000,715,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:03:00,6000,720,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:03:05,6000,725,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:03:10,6000,730,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:03:15,6000,735,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:03:20,6000,740,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:03:25,6000,745,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:03:30,6000,750,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:03:35,6000,755,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:03:40,6000,760,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:03:45,6000,765,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:03:50,6000,770,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:03:55,6000,775,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:04:00,6000,780,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:04:05,6000,785,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:04:10,6000,790,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:04:15,6000,795,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:04:20,6000,800,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:04:25,6000,805,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:04:30,6000,810,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:04:35,6000,815,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:04:40,6000,820,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:04:45,6000,825,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:04:50,6000,830,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:04:55,6000,835,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:05:00,6000,840,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:05:05,6000,845,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:05:10,6000,850,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:05:15,6000,855,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:05:20,6000,860,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:05:25,6000,865,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:05:30,6000,870,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:05:35,6000,875,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:05:40,6000,880,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:05:45,6000,885,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:05:50,6000,890,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:05:55,6000,895,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:06:00,6000,900,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:06:05,6000,905,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:06:10,6000,910,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:06:15,6000,915,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:06:20,6000,920,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:06:25,6000,925,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:06:30,6000,930,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:06:35,6000,935,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:06:40,6000,940,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:06:45,6000,945,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:06:50,6000,950,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:06:55,6000,955,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:07:00,6000,960,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:07:05,6000,965,462,0,0
2023-08-04,RA,Hanna,206,discharge,13:51:00,14:07:10,6000,970,462,0,0
