event_id,solute,level,hi,overlap
RA_20230906_P,SRP,0.933353012007127,0.6940409175331437,0.8144204856187777
RA_20231005_downstream,NH4-N,NA,NA,0
RA_20231005_downstream,SRP,NA,NA,0
RC_20231007_single,NH4-N,NA,NA,-0.0032687635474138253
RC_20231007_single,SRP,NA,NA,-0.0032687635474138253
RS_20231011_single,NH4-N,0.043587409966783945,0.46647735488508696,0.437384173277394
RS_20231011_single,NH4-N,0.0982604316264582,0.5624152839407529,0.437384173277394
RS_20231011_single,NH4-N,0.15293345328613245,0.6664283497286941,0.437384173277394
RS_20231011_single,NH4-N,0.2076064749458067,0.6018380992843986,0.437384173277394
RS_20231011_single,NH4-N,0.26227949660548094,0.47084245244400974,0.437384173277394
RS_20231011_single,NH4-N,0.3169525182651552,0.518905665589239,0.437384173277394
RS_20231011_single,NH4-N,0.37162553992482944,0.5669688787344684,0.437384173277394
RS_20231011_single,NH4-N,0.4262985615845037,0.6153255482455919,0.437384173277394
RS_20231011_single,NH4-N,0.48097158324417794,0.6708883943418412,0.437384173277394
RS_20231011_single,SRP,0.043587409966783945,0.027006875081307072,0.437384173277394
RS_20231011_single,SRP,0.0982604316264582,0.021026264709176234,0.437384173277394
RS_20231011_single,SRP,0.15293345328613245,0.026330583859358516,0.437384173277394
RS_20231011_single,SRP,0.2076064749458067,0.041411625713508426,0.437384173277394
RS_20231011_single,SRP,0.26227949660548094,0.05389938633008113,0.437384173277394
RS_20231011_single,SRP,0.3169525182651552,0.04889154946851206,0.437384173277394
RS_20231011_single,SRP,0.37162553992482944,0.04388371260694299,0.437384173277394
RS_20231011_single,SRP,0.4262985615845037,0.038558829773665274,0.437384173277394
RS_20231011_single,SRP,0.48097158324417794,0.025448499005825367,0.437384173277394
SR_20231011_single,NH4-N,0.0024737167594310445,-0.0031108091215949823,0.9635126777983921
SR_20231011_single,NH4-N,0.12291280148423006,0.07486634026241684,0.9635126777983921
SR_20231011_single,NH4-N,0.24335188620902906,0.14354544245925954,0.9635126777983921
SR_20231011_single,NH4-N,0.36379097093382806,0.26295855372454885,0.9635126777983921
SR_20231011_single,NH4-N,0.4842300556586271,0.2534759497292137,0.9635126777983921
SR_20231011_single,NH4-N,0.6046691403834261,0.4974170995548246,0.9635126777983921
SR_20231011_single,NH4-N,0.7251082251082251,0.583383343139138,0.9635126777983921
SR_20231011_single,NH4-N,0.8455473098330242,0.36400882796047107,0.9635126777983921
SR_20231011_single,NH4-N,0.9659863945578232,0.3297924302926628,0.9635126777983921
SR_20231011_single,SRP,0.0024737167594310445,0.04297618331970847,0.9635126777983921
SR_20231011_single,SRP,0.12291280148423006,0.019476891621638355,0.9635126777983921
SR_20231011_single,SRP,0.24335188620902906,0.31827598901353316,0.9635126777983921
SR_20231011_single,SRP,0.36379097093382806,-0.003364364702548306,0.9635126777983921
SR_20231011_single,SRP,0.4842300556586271,-0.04449254818037677,0.9635126777983921
SR_20231011_single,SRP,0.6046691403834261,-0.03900297544746617,0.9635126777983921
SR_20231011_single,SRP,0.7251082251082251,-0.019940502988144038,0.9635126777983921
SR_20231011_single,SRP,0.8455473098330242,-0.29852878784058834,0.9635126777983921
SR_20231011_single,SRP,0.9659863945578232,0.030546498204763795,0.9635126777983921
