event_id,sample_btc,p_coprec_ugL,conc_corr_ugL,sigma_label,sigma_molm2,p_coprec_ugL_sens,frac_of_srp_sens
CD_20231009_single,17,0.3147214399759523,24.0351,lab_ceiling,1.5e-7,0.8583311999344153,0.03571157182347547
CD_20231009_single,18,0.2514589891225496,17.4499,field_high,9.5e-8,0.4343382539389493,0.024890586991269253
CD_20231009_single,18,0.2514589891225496,17.4499,field_low,5.5e-8,0.2514589891225496,0.01441033983705062
CD_20231009_single,18,0.2514589891225496,17.4499,lab_ceiling,1.5e-7,0.6857972430614989,0.03930092682831987
CD_20231009_single,20,0.23819619575452283,16.0933,field_high,9.5e-8,0.4114297926669031,0.025565284476577403
CD_20231009_single,20,0.23819619575452283,16.0933,field_low,5.5e-8,0.23819619575452283,0.014800954170650074
CD_20231009_single,20,0.23819619575452283,16.0933,lab_ceiling,1.5e-7,0.6496259884214258,0.04036623864722747
CD_20231009_single,21,0.19319741985583094,11.5509,field_high,9.5e-8,0.33370463429643527,0.028889924966577087
CD_20231009_single,21,0.19319741985583094,11.5509,field_low,5.5e-8,0.19319741985583094,0.01672574603328147
CD_20231009_single,21,0.19319741985583094,11.5509,lab_ceiling,1.5e-7,0.5269020541522662,0.045615670999858554
CD_20231009_single,22,0.37871464421913165,30.8955,field_high,9.5e-8,0.6541434763785001,0.02117277520604943
CD_20231009_single,22,0.37871464421913165,30.8955,field_low,5.5e-8,0.37871464421913165,0.012257922487712828
CD_20231009_single,22,0.37871464421913165,30.8955,lab_ceiling,1.5e-7,1.0328581205976317,0.03343069769376226
CD_20231009_single,23,0.2957315615740365,22.0383,field_high,9.5e-8,0.5108090609006085,0.023178242464283023
CD_20231009_single,23,0.2957315615740365,22.0383,field_low,5.5e-8,0.2957315615740365,0.01341898247932175
CD_20231009_single,23,0.2957315615740365,22.0383,lab_ceiling,1.5e-7,0.806540622474645,0.03659722494360477
CD_20231009_single,24,0.3576841827332575,28.6185,field_high,9.5e-8,0.6178181338119902,0.021588068340828142
CD_20231009_single,24,0.3576841827332575,28.6185,field_low,5.5e-8,0.3576841827332575,0.012498355355216295
CD_20231009_single,24,0.3576841827332575,28.6185,lab_ceiling,1.5e-7,0.9755023165452478,0.034086423696044435
CD_20231009_single,25,0.36023246153361227,28.893,field_high,9.5e-8,0.6222197062853303,0.021535309808096436
CD_20231009_single,25,0.36023246153361227,28.893,field_low,5.5e-8,0.36023246153361227,0.012467810941529515
CD_20231009_single,25,0.36023246153361227,28.893,lab_ceiling,1.5e-7,0.9824521678189425,0.03400312074962595
CD_20231009_single,26,0.16883788779865794,9.1301,field_high,9.5e-8,0.2916290789249546,0.031941498880073006
CD_20231009_single,26,0.16883788779865794,9.1301,field_low,5.5e-8,0.16883788779865794,0.018492446720042268
CD_20231009_single,26,0.16883788779865794,9.1301,lab_ceiling,1.5e-7,0.46046696672361254,0.05043394560011528
CD_20231009_single,27,0.23224958939895274,15.4877,field_high,9.5e-8,0.4011583816891002,0.025901740199584196
CD_20231009_single,27,0.23224958939895274,15.4877,field_low,5.5e-8,0.23224958939895274,0.014995744326075061
CD_20231009_single,27,0.23224958939895274,15.4877,lab_ceiling,1.5e-7,0.6334079710880529,0.04089748452565926
CD_20231009_single,28,0.17532612098184214,9.7723,field_high,9.5e-8,0.3028360271504546,0.030989227423478056
CD_20231009_single,28,0.17532612098184214,9.7723,field_low,5.5e-8,0.17532612098184214,0.017941131666224137
CD_20231009_single,28,0.17532612098184214,9.7723,lab_ceiling,1.5e-7,0.4781621481322967,0.04893035908970219
CD_20231009_single,29,0.10335617184195914,2.7515,field_high,9.5e-8,0.17852429681792942,0.06488253564162436
CD_20231009_single,29,0.10335617184195914,2.7515,field_low,5.5e-8,0.10335617184195914,0.037563573266203576
CD_20231009_single,29,0.10335617184195914,2.7515,lab_ceiling,1.5e-7,0.28188046865988853,0.10244610890782792
CD_20231009_single,30,0.21381733715869042,13.6209,field_high,9.5e-8,0.36932085509228346,0.02711427696351074
CD_20231009_single,30,0.21381733715869042,13.6209,field_low,5.5e-8,0.21381733715869042,0.01569773929466411
CD_20231009_single,30,0.21381733715869042,13.6209,lab_ceiling,1.5e-7,0.5831381922509739,0.04281201625817485
