stream,date,sample_btc,a_PO4,a_HPO4,a_H2PO4
CD,20231009,4,1.3168961522381266e-11,1.3209368856544672e-7,9.857526864990432e-9
CD,20231009,5,1.5152275314711904e-11,1.51987682026239e-7,1.134212145176765e-8
CD,20231009,6,1.2332871489454973e-11,1.237071338447624e-7,9.231677974239678e-9
CD,20231009,7,1.9620374160532058e-11,1.9680576858654366e-7,1.4686683157202785e-8
CD,20231009,8,2.1835841619093506e-11,2.1902842205855257e-7,1.634505462059909e-8
CD,20231009,9,1.9714244866333846e-11,1.9774735595138872e-7,1.4756949366326691e-8
CD,20231009,10,3.195674753355377e-11,3.205480287179521e-7,2.3920982439985e-8
CD,20231009,11,1.669120776304648e-11,1.6742422675363362e-7,1.2494077733747942e-8
CD,20231009,12,2.4448965300441586e-11,2.4523983934915237e-7,1.830108865157805e-8
CD,20231009,13,2.1691368717192645e-11,2.1757926006674292e-7,1.623691051908198e-8
CD,20231009,14,1.827068502143365e-11,1.8326746364904173e-7,1.3676383527620255e-8
CD,20231009,15,4.405043629746245e-11,4.4185599628032703e-7,3.297362198824809e-8
CD,20231009,16,4.312929341950274e-11,4.326163033676631e-7,3.228410743157258e-8
CD,20231009,17,3.3477106341577106e-11,3.357982671329882e-7,2.505903556353953e-8
CD,20231009,18,2.636143679040326e-11,2.644232360775842e-7,1.973265476700683e-8
CD,20231009,20,2.489564673326162e-11,2.497203595461791e-7,1.863544867052362e-8
CD,20231009,21,1.9987725262510574e-11,2.0049055132180026e-7,1.496166105507896e-8
CD,20231009,22,4.08903949842833e-11,4.1015862117845543e-7,3.0608196887248154e-8
CD,20231009,23,3.1319337484796165e-11,3.141543700892155e-7,2.344385395350841e-8
CD,20231009,24,3.842962678671599e-11,3.8547543356576775e-7,2.8766207405024544e-8
CD,20231009,25,3.872650966239174e-11,3.884533718073873e-7,2.898843684337139e-8
CD,20231009,26,1.737218300872442e-11,1.742548740959075e-7,1.3003816619935372e-8
CD,20231009,27,2.4241304313744487e-11,2.4315685766093493e-7,1.8145645585570372e-8
CD,20231009,28,1.8066045938550184e-11,1.8121479372235122e-7,1.3523202484929601e-8
CD,20231009,29,1.0480776716894606e-11,1.0512935687544807e-7,7.845306395433452e-9
CD,20231009,30,2.222428277534979e-11,2.2292475245888938e-7,1.6635819319604102e-8
CD,20231009,31,1.2524517498424731e-11,1.2562947435586807e-7,9.37513314940872e-9
CD,20231009,32,7.880788450461364e-12,7.9049696778002e-8,5.899104780259206e-9
RA,20230906,3,6.246871764176654e-12,8.9330753603539e-8,9.598566689825076e-9
RA,20230906,4,5.614452390435798e-12,8.028710721820362e-8,8.626829192410785e-9
RA,20230906,5,5.172047892122181e-12,7.396068837628285e-8,7.947057101475035e-9
RA,20230906,6,6.7726922330801486e-12,9.6850027332941e-8,1.0406510734168723e-8
RA,20230906,7,6.353724347765363e-12,9.08587538854083e-8,9.762749930377198e-9
RA,20230906,8,1.2920192864840742e-11,1.8475976599007623e-7,1.9852389730449562e-8
RA,20230906,9,1.3113587003464439e-11,1.8752531726084683e-7,2.0149547509107078e-8
RA,20230906,10,1.333565954761511e-11,1.9070097196811925e-7,2.0490770797414813e-8
