event_id,stream,solute,conc_col,fit_status,n_grabs,mass_injected_mg,background_ugL,n_gap_filled_uptake,gap_fill_dt_uptake_s,hydraulic_model,conservative_source,v_input_ms,v_ms,n_gap_filled_hydraulics,n_pre_zeroed_hydraulics,hydraulic_params_at_bound,D_m2s,alpha_1s,As_m2,A_m2,As_over_A,hydraulic_rmse,lambda_1s,lambda_s_1s,uptake_rmse,pct_total_uptake,pct_mainchannel,pct_storagezone,Sw_mainchannel_m,vf_mainchannel_mps,U_mainchannel_mgm2h,vf_storagezone_mps,U_storagezone_mgm2h,Sw_total_m,vf_total_mps,U_total_mgm2h,lambda_at_bound,lambda_s_at_bound,uptake_significant,correction,model_version,hydraulics_borrowed_from,d_aicc,flag_discharge_invalid,flag_mixing_incomplete,flag_no_baseline,flag_weak_signal,flag_broken_pairing
RA_20231005_downstream,RA,NH4-N,conc_corr_ugL,ok,27,39016.71309192201,9.82,22,150,v_fixed,probe_grab,0.01991150442477876,0.01991150442477876,17,16,,0.19948815670127745,4.009616694758217e-4,0.01795893925425667,10.558259294514476,0.0017009375080973058,0.34274021533365606,1.1070444798719655e-4,0.034123437884508515,0.9987670877618428,55.87682660740438,81.16721234230928,18.832787657690716,179.8618283800269,1.2355668783350023e-4,4.367976028289901,6.478020593174304e-5,2.2901098400989803,123.36225024363692,1.8014531786201632e-4,6.368497277058001,FALSE,FALSE,TRUE,raw,exact_v1,NA,99.43624921015878,FALSE,FALSE,TRUE,FALSE,TRUE
RA_20231005_downstream,RA,SRP,conc_corr_ugL,ok,27,67143.79142601002,5.9,17,180,v_fixed,probe_grab,0.01991150442477876,0.01991150442477876,17,16,,0.19948815670127745,4.009616694758217e-4,0.01795893925425667,10.558259294514476,0.0017009375080973058,0.34274021533365606,4.276830576607509e-4,5.363961861599362e-7,1.938070388035201,91.64572702652653,99.99970562636257,2.9437363742964103e-4,46.556682730633376,4.773349491176525e-4,10.13859431925894,1.018298786835227e-9,2.162866623238022e-5,46.55658341168634,4.7733596741412224e-4,10.138615947875957,FALSE,FALSE,TRUE,raw,exact_v1,NA,99.43624921015878,FALSE,FALSE,TRUE,FALSE,TRUE
RC_20231007_single,RC,NH4-N,conc_corr_ugL,ok,23,26971.284889046758,2.4,15,40,v_fitted,logger,0.1724137931034483,0.17099055737495047,0,76,,0.0436551963116918,0.001168386867868517,0.5952779956522621,2.932299656775258,0.20300721799589475,0.16362538466482054,7.168226477514791e-4,3.008956362951221e-4,3.4695530495267324,49.402764679837645,90.37279130698226,9.62720869301773,238.5395577432042,2.6721825628914236e-4,2.30876573433819,2.2770982872396688e-5,0.1967412920175074,220.66948342674735,2.888579049820535e-4,2.495732299044942,FALSE,FALSE,TRUE,raw,exact_v1,NA,3.061304686879339,FALSE,FALSE,FALSE,FALSE,FALSE
RC_20231007_single,RC,SRP,conc_corr_ugL,ok,23,35387.67941210242,4.1,15,40,v_fitted,logger,0.1724137931034483,0.17099055737495047,0,76,,0.0436551963116918,0.001168386867868517,0.5952779956522621,2.932299656775258,0.20300721799589475,0.16362538466482054,0.0016049020787804224,1e-7,2.321269573899854,75.56897842162427,99.99763549069397,0.00236450930603841,106.54267299902031,5.982778813584707e-4,8.830581528851026,7.567734498503205e-9,1.1169976119790731e-4,106.54132536027291,5.982854489614821e-4,8.830693226671475,FALSE,TRUE,TRUE,raw,exact_v1,NA,3.061304686879339,FALSE,FALSE,FALSE,FALSE,FALSE
RS_20231011_single,RS,NH4-N,conc_corr_ugL,ok,20,126738.85326503524,0.91,21,60,v_fitted,logger,0.21139896373056996,0.24685843233977275,0,156,,0.03952518478262916,0.0022260863096744813,1.7923321734231092,4.452709549690857,0.4025261817374878,0.1268646512622218,1e-7,7.045513813185828e-4,2.4168093944787614,34.04402973974657,0.048574034120296934,99.95142596587971,NA,6.397571192084565e-8,2.0958443225269036e-4,1.8143536042629157e-4,0.5943822407565312,980.9481655675032,1.6099672242584045e-4,0.5274252626670534,TRUE,FALSE,TRUE,raw,exact_v1,NA,99.50058515161868,FALSE,FALSE,FALSE,FALSE,FALSE
RS_20231011_single,RS,SRP,conc_corr_ugL,ok,21,164312.6420943851,7.7,20,65,v_fitted,logger,0.21139896373056996,0.24685843233977275,0,156,,0.03952518478262916,0.0022260863096744813,1.7923321734231092,4.452709549690857,0.4025261817374878,0.1268646512622218,5.625146805679071e-4,6.710402674848052e-4,3.5337100280836853,73.50411140302747,64.82192801014199,35.178071989858026,438.84798187053156,3.5987277155258936e-4,9.975673227437778,1.7280561222348642e-4,4.790171570835044,307.2681260867747,5.139792452192333e-4,14.247504677477147,FALSE,FALSE,TRUE,raw,exact_v1,NA,99.50058515161868,FALSE,FALSE,FALSE,FALSE,FALSE
SR_20231011_single,SR,NH4-N,conc_corr_ugL,ok,27,542.0442691293862,3.04,29,20,v_fitted,borrowed,0.07272727272727272,0.083123331510875,NA,NA,,0.006072069850662694,0.001111195309216322,0.02060989630558491,0.05328687882220723,0.38677244306896363,NA,0.0011553631563081758,1e-7,2.203660115447984,63.278276625070774,99.99469553666101,0.005304463338982654,71.94563116975759,4.104379767055775e-5,0.44918332170658404,1.373993087038994e-9,1.503698034455475e-5,71.94322286312028,4.1045171615822035e-5,0.4491983581635563,FALSE,TRUE,TRUE,raw,exact_v1,SR_20231009_downstream,NA,FALSE,FALSE,FALSE,FALSE,FALSE
SR_20231011_single,SR,SRP,conc_corr_ugL,ok,27,912.6735248732456,6.5,29,20,v_fitted,borrowed,0.07272727272727272,0.083123331510875,NA,NA,,0.006072069850662694,0.001111195309216322,0.02060989630558491,0.05328687882220723,0.38677244306896363,NA,0.003907038187795629,1e-7,1.6272770766819054,96.59362749749347,99.99652505742296,0.003474942577043511,21.27528002427169,1.3879591364453453e-4,3.247824379282108,1.373993087038994e-9,3.215143823671245e-5,21.275069421667393,1.387972875897988e-4,3.2478565296012922,FALSE,TRUE,TRUE,raw,exact_v1,SR_20231009_downstream,NA,FALSE,FALSE,FALSE,FALSE,FALSE
CB_20230907_single,CB,SRP,conc_corr_coprec_ugL,ok,13,63128.774830634975,5.83,11,120,v_fitted,logger,0.08165322580645161,0.09155368359285651,0,48,,0.044313648088526836,0.0014868475646793928,1.2417485247741857,4.186639418642138,0.29659791556085924,0.25844354453931306,1.0641156841518288e-4,1e-7,6.160595063921389,17.251237523632483,99.96939933709685,0.03060066290315204,860.3734063541307,5.7484757022779275e-5,1.2064900803940914,1.6022561609989493e-8,3.3628152307045947e-4,860.1336685436119,5.75007792647759e-5,1.2068263552091165,FALSE,TRUE,TRUE,coprec_corrected_biotic_only,exact_v1,NA,27.651977155567295,FALSE,FALSE,FALSE,FALSE,FALSE
CB_20231008_single,CB,SRP,conc_corr_coprec_ugL,ok,29,62061.80962222988,5.83,24,60,v_fitted,logger,0.07431192660550459,0.07728199421714926,0,172,,0.03845930173187935,8.147178578585176e-4,1.0456739438688423,4.100716313479009,0.2549978745010289,0.13713492300179805,5.280755509823082e-4,6.394207741693689e-4,1.2911573570946906,75.20011330493914,72.92175723257355,27.078242767426445,146.34647272230634,2.794178098919442e-4,5.864420994012125,8.627427647965836e-5,1.8107245147550697,116.39969241150527,3.513051456262794e-4,7.373192396404352,FALSE,FALSE,TRUE,coprec_corrected_biotic_only,exact_v1,NA,33.974750132732424,FALSE,FALSE,FALSE,FALSE,FALSE
CC_20231006_single,CC,SRP,conc_corr_coprec_ugL,ok,19,35387.67941210242,6.7,18,60,v_fitted,logger,0.12602739726027398,0.13353540962874685,0,124,,0.024374934951759814,0.0016114527885399878,0.2726191653032451,1.4492588316856465,0.18810936966046238,0.20558039809212494,6.650819239330066e-4,0.005997357801309415,2.2857444390204615,83.97600243650778,50.034529420335375,49.96547057966463,200.7803923448652,3.103270611894369e-4,7.485088715889219,5.263988016155434e-4,12.696739094966908,100.50302704954956,6.199573379031214e-4,14.953370990223286,FALSE,FALSE,TRUE,coprec_corrected_biotic_only,exact_v1,NA,76.54657962324097,FALSE,FALSE,FALSE,FALSE,FALSE
CD_20231009_single,CD,SRP,conc_corr_coprec_ugL,ok,29,15826.65059134229,6.95,13,60,v_fitted,logger,0.03312101910828025,0.03754166011117872,0,116,,0.005423652270322953,0.0020104935028542057,0.6932910098809051,1.3214244996930906,0.5246542727502982,0.33689820793963554,0.0014827226887451374,1e-7,1.796384344188618,87.17186740634418,99.99161825972507,0.008381740274920136,25.31940759802569,2.1296805295202583e-4,5.328460684859686,7.535771846531577e-9,1.8854501160022006e-4,25.318511738076268,2.1297558852722553e-4,5.3286492249511825,FALSE,TRUE,TRUE,coprec_corrected_biotic_only,exact_v1,NA,33.89912273472447,FALSE,FALSE,FALSE,FALSE,FALSE
RA_20230906_P,RA,SRP,conc_corr_coprec_ugL,ok,21,62819.276046029714,5.24,4,180,v_fixed,probe_grab,0.0375,0.0375,4,4,,0.01763950540545685,6.026867419181771e-4,2.3824731837731097,6.510649244287535,0.36593480840079035,0.14002102771724667,6.587445580218347e-4,1.5036453205765756e-4,0.7394305889479994,92.17745114820386,84.4455582403324,15.554441759667604,56.92646647831135,4.5336731066209136e-4,8.552320948329692,3.786886526616926e-5,0.714358274381017,52.87909506780756,4.880680915524935e-4,9.206916479046237,FALSE,FALSE,TRUE,coprec_corrected_biotic_only,exact_v1,NA,-1.2710036219959875,FALSE,FALSE,FALSE,TRUE,FALSE
RA_20231005_downstream,RA,SRP,conc_corr_coprec_ugL,ok,27,67143.79142601002,5.9,17,180,v_fixed,probe_grab,0.01991150442477876,0.01991150442477876,17,16,,0.19948815670127745,4.009616694758217e-4,0.01795893925425667,10.558259294514476,0.0017009375080973058,0.34274021533365606,4.261676296646609e-4,1e-7,1.9400461965267826,91.58108843513138,99.99994508094723,5.491905277357894e-5,46.7222356621655,4.7564358741311927e-4,10.102669796654654,1.8984079549954196e-10,4.032218496410272e-6,46.72221701421288,4.7564377725383425e-4,10.10267382887144,FALSE,TRUE,TRUE,coprec_corrected_biotic_only,exact_v1,NA,99.43624921015878,FALSE,FALSE,TRUE,FALSE,TRUE
RC_20231007_single,RC,SRP,conc_corr_coprec_ugL,ok,23,35387.67941210242,4.1,15,40,v_fitted,logger,0.1724137931034483,0.17099055737495047,0,76,,0.0436551963116918,0.001168386867868517,0.5952779956522621,2.932299656775258,0.20300721799589475,0.16362538466482054,0.0015981000613675867,1e-7,2.3280053197326285,75.42296431725653,99.99763091315323,0.002369086846761085,106.99615218625544,5.957422147776116e-4,8.793155090117546,7.567734498503205e-9,1.1169976119790731e-4,106.99479305121682,5.95749782380623e-4,8.793266787937993,FALSE,TRUE,TRUE,coprec_corrected_biotic_only,exact_v1,NA,3.061304686879339,FALSE,FALSE,FALSE,FALSE,FALSE
RS_20231011_single,RS,SRP,conc_corr_coprec_ugL,ok,21,164312.6420943851,7.7,20,65,v_fitted,logger,0.21139896373056996,0.24685843233977275,0,156,,0.03952518478262916,0.0022260863096744813,1.7923321734231092,4.452709549690857,0.4025261817374878,0.1268646512622218,5.603323553691378e-4,6.720038485682608e-4,3.5375290041757546,73.42194395081408,64.74439177783064,35.25560822216936,440.5571621455742,3.584766134702487e-4,9.936971725395294,1.7305375265129955e-4,4.797050023494023,307.9864975800552,5.127804003321865e-4,14.214272697208209,FALSE,FALSE,TRUE,coprec_corrected_biotic_only,exact_v1,NA,99.50058515161868,FALSE,FALSE,FALSE,FALSE,FALSE
SR_20231011_single,SR,SRP,conc_corr_coprec_ugL,ok,27,912.6735248732456,6.5,29,20,v_fitted,borrowed,0.07272727272727272,0.083123331510875,NA,NA,,0.006072069850662694,0.001111195309216322,0.02060989630558491,0.05328687882220723,0.38677244306896363,NA,0.003703352562315581,1e-7,1.7395248986121987,95.9396794043764,99.99650137137654,0.0034986286234732645,22.445427517951682,1.3156006614934733e-4,3.0785055478947276,1.373993087038994e-9,3.215143823671245e-5,22.445193111967516,1.3156144009461161e-4,3.078537698213912,FALSE,TRUE,TRUE,coprec_corrected_biotic_only,exact_v1,SR_20231009_downstream,NA,FALSE,FALSE,FALSE,FALSE,FALSE
